Activation,GD_Type,Hidden_Size,Train_MSE,Test_MSE,Best_Epoch,Best_Test_MSE
leaky_relu,stochastic,32-16,0.005936983328272394,0.011297248469172246,472,0.011289452793493674
relu,stochastic,32-16,0.005919121496393484,0.011375025672564919,482,0.011371152284742506
tanh,stochastic,32-16,0.006563727485093495,0.011851387340346523,197,0.011712194014973587
sigmoid,stochastic,32-16,0.020615085925932083,0.034351667842494424,500,0.034351667842494424
sigmoid,minibatch,32-16,0.02268027226363788,0.03779035934181655,500,0.03779035934181655
tanh,minibatch,32-16,0.08084208426727561,0.10540898440379429,500,0.10540898440379429
leaky_relu,minibatch,32-16,0.07945546612014909,0.10549298500251235,500,0.10549298500251235
relu,minibatch,32-16,0.08002414665865164,0.10552828253080651,500,0.10552828253080651
sigmoid,batch,32-16,0.1543369853805362,0.18604585358329634,500,0.18604585358329634
tanh,batch,32-16,0.1674880145253327,0.20006540001331066,500,0.20006540001331066
leaky_relu,batch,32-16,0.16749906559072214,0.20007151244527951,500,0.20007151244527951
relu,batch,32-16,0.1675212247750837,0.20010022220880389,500,0.20010022220880389
